Bus,Case,Projection,Weights,Seed,Selected_Checkpoint,Candidate_Count
57,pglib_opf_case57_ieee,none,nominal,1,model/best_controlled_none_nominal_pglib_opf_case57_ieee_10000epochs_seed1_20260922_044710.pth,1
57,pglib_opf_case57_ieee,none,nominal,2,model/best_controlled_none_nominal_pglib_opf_case57_ieee_10000epochs_seed2_20260922_052119.pth,1
57,pglib_opf_case57_ieee,none,nominal,3,model/best_controlled_none_nominal_pglib_opf_case57_ieee_10000epochs_seed3_20260922_055659.pth,1
57,pglib_opf_case57_ieee,none,nominal,4,model/best_controlled_none_nominal_pglib_opf_case57_ieee_10000epochs_seed4_20260922_063224.pth,1
57,pglib_opf_case57_ieee,none,nominal,5,model/best_controlled_none_nominal_pglib_opf_case57_ieee_10000epochs_seed5_20260922_070722.pth,1
57,pglib_opf_case57_ieee,voltage,nominal,1,model/best_controlled_voltage_nominal_pglib_opf_case57_ieee_10000epochs_seed1_20260922_074312.pth,1
57,pglib_opf_case57_ieee,voltage,nominal,2,model/best_controlled_voltage_nominal_pglib_opf_case57_ieee_10000epochs_seed2_20260922_081942.pth,1
57,pglib_opf_case57_ieee,voltage,nominal,3,model/best_controlled_voltage_nominal_pglib_opf_case57_ieee_10000epochs_seed3_20260922_085351.pth,1
57,pglib_opf_case57_ieee,voltage,nominal,4,model/best_controlled_voltage_nominal_pglib_opf_case57_ieee_10000epochs_seed4_20260922_092808.pth,1
57,pglib_opf_case57_ieee,voltage,nominal,5,model/best_controlled_voltage_nominal_pglib_opf_case57_ieee_10000epochs_seed5_20260922_100203.pth,1
57,pglib_opf_case57_ieee,generation,nominal,1,model/best_controlled_generation_nominal_pglib_opf_case57_ieee_10000epochs_seed1_20260922_103155.pth,1
57,pglib_opf_case57_ieee,generation,nominal,2,model/best_controlled_generation_nominal_pglib_opf_case57_ieee_10000epochs_seed2_20260922_110110.pth,1
57,pglib_opf_case57_ieee,generation,nominal,3,model/best_controlled_generation_nominal_pglib_opf_case57_ieee_10000epochs_seed3_20260922_112933.pth,1
57,pglib_opf_case57_ieee,generation,nominal,4,model/best_controlled_generation_nominal_pglib_opf_case57_ieee_10000epochs_seed4_20260922_115808.pth,1
57,pglib_opf_case57_ieee,generation,nominal,5,model/best_controlled_generation_nominal_pglib_opf_case57_ieee_10000epochs_seed5_20260922_122702.pth,1
57,pglib_opf_case57_ieee,full,nominal,1,model/best_controlled_full_nominal_pglib_opf_case57_ieee_10000epochs_seed1_20260922_125542.pth,1
57,pglib_opf_case57_ieee,full,nominal,2,model/best_controlled_full_nominal_pglib_opf_case57_ieee_10000epochs_seed2_20260922_132521.pth,1
57,pglib_opf_case57_ieee,full,nominal,3,model/best_controlled_full_nominal_pglib_opf_case57_ieee_10000epochs_seed3_20260922_135526.pth,1
57,pglib_opf_case57_ieee,full,nominal,4,model/best_controlled_full_nominal_pglib_opf_case57_ieee_10000epochs_seed4_20260922_142409.pth,1
57,pglib_opf_case57_ieee,full,nominal,5,model/best_controlled_full_nominal_pglib_opf_case57_ieee_10000epochs_seed5_20260922_170449.pth,1
57,pglib_opf_case57_ieee,full,equal,1,model/best_controlled_full_equal_pglib_opf_case57_ieee_10000epochs_seed1_20260922_045405.pth,2
57,pglib_opf_case57_ieee,full,equal,2,model/best_controlled_full_equal_pglib_opf_case57_ieee_10000epochs_seed2_20260922_052805.pth,1
57,pglib_opf_case57_ieee,full,equal,3,model/best_controlled_full_equal_pglib_opf_case57_ieee_10000epochs_seed3_20260922_060408.pth,1
57,pglib_opf_case57_ieee,full,equal,4,model/best_controlled_full_equal_pglib_opf_case57_ieee_10000epochs_seed4_20260922_063857.pth,1
57,pglib_opf_case57_ieee,full,equal,5,model/best_controlled_full_equal_pglib_opf_case57_ieee_10000epochs_seed5_20260922_071415.pth,1
57,pglib_opf_case57_ieee,full,inequality,1,model/best_controlled_full_inequality_pglib_opf_case57_ieee_10000epochs_seed1_20260922_074916.pth,1
57,pglib_opf_case57_ieee,full,inequality,2,model/best_controlled_full_inequality_pglib_opf_case57_ieee_10000epochs_seed2_20260922_082423.pth,1
57,pglib_opf_case57_ieee,full,inequality,3,model/best_controlled_full_inequality_pglib_opf_case57_ieee_10000epochs_seed3_20260922_085810.pth,1
57,pglib_opf_case57_ieee,full,inequality,4,model/best_controlled_full_inequality_pglib_opf_case57_ieee_10000epochs_seed4_20260922_093215.pth,1
57,pglib_opf_case57_ieee,full,inequality,5,model/best_controlled_full_inequality_pglib_opf_case57_ieee_10000epochs_seed5_20260922_100557.pth,1
57,pglib_opf_case57_ieee,full,physics,1,model/best_controlled_full_physics_pglib_opf_case57_ieee_10000epochs_seed1_20260922_103454.pth,1
57,pglib_opf_case57_ieee,full,physics,2,model/best_controlled_full_physics_pglib_opf_case57_ieee_10000epochs_seed2_20260922_110332.pth,1
57,pglib_opf_case57_ieee,full,physics,3,model/best_controlled_full_physics_pglib_opf_case57_ieee_10000epochs_seed3_20260922_113212.pth,1
57,pglib_opf_case57_ieee,full,physics,4,model/best_controlled_full_physics_pglib_opf_case57_ieee_10000epochs_seed4_20260922_120115.pth,1
57,pglib_opf_case57_ieee,full,physics,5,model/best_controlled_full_physics_pglib_opf_case57_ieee_10000epochs_seed5_20260922_122943.pth,1
57,pglib_opf_case57_ieee,full,objective,1,model/best_controlled_full_objective_pglib_opf_case57_ieee_10000epochs_seed1_20260922_125808.pth,1
57,pglib_opf_case57_ieee,full,objective,2,model/best_controlled_full_objective_pglib_opf_case57_ieee_10000epochs_seed2_20260922_132755.pth,1
57,pglib_opf_case57_ieee,full,objective,3,model/best_controlled_full_objective_pglib_opf_case57_ieee_10000epochs_seed3_20260922_135800.pth,1
57,pglib_opf_case57_ieee,full,objective,4,model/best_controlled_full_objective_pglib_opf_case57_ieee_10000epochs_seed4_20260922_142653.pth,1
57,pglib_opf_case57_ieee,full,objective,5,model/best_controlled_full_objective_pglib_opf_case57_ieee_10000epochs_seed5_20260922_170449.pth,1
162,pglib_opf_case162_ieee_dtc,none,nominal,1,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_none_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed1_20260922_214108.pth,1
162,pglib_opf_case162_ieee_dtc,none,nominal,2,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_none_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed2_20260922_214842.pth,1
162,pglib_opf_case162_ieee_dtc,none,nominal,3,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_none_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed3_20260922_215543.pth,1
162,pglib_opf_case162_ieee_dtc,none,nominal,4,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_none_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed4_20260922_220404.pth,1
162,pglib_opf_case162_ieee_dtc,none,nominal,5,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_none_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed5_20260922_221055.pth,1
162,pglib_opf_case162_ieee_dtc,voltage,nominal,1,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_voltage_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed1_20260922_221756.pth,1
162,pglib_opf_case162_ieee_dtc,voltage,nominal,2,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_voltage_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed2_20260922_222453.pth,1
162,pglib_opf_case162_ieee_dtc,voltage,nominal,3,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_voltage_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed3_20260922_223158.pth,1
162,pglib_opf_case162_ieee_dtc,voltage,nominal,4,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_voltage_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed4_20260922_223856.pth,1
162,pglib_opf_case162_ieee_dtc,voltage,nominal,5,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_voltage_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed5_20260922_224550.pth,1
162,pglib_opf_case162_ieee_dtc,generation,nominal,1,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_generation_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed1_20260922_225247.pth,1
162,pglib_opf_case162_ieee_dtc,generation,nominal,2,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_generation_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed2_20260922_225947.pth,1
162,pglib_opf_case162_ieee_dtc,generation,nominal,3,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_generation_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed3_20260922_230630.pth,1
162,pglib_opf_case162_ieee_dtc,generation,nominal,4,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_generation_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed4_20260922_231319.pth,1
162,pglib_opf_case162_ieee_dtc,generation,nominal,5,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_generation_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed5_20260922_232003.pth,1
162,pglib_opf_case162_ieee_dtc,full,nominal,1,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed1_20260922_232632.pth,1
162,pglib_opf_case162_ieee_dtc,full,nominal,2,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed2_20260922_233317.pth,1
162,pglib_opf_case162_ieee_dtc,full,nominal,3,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed3_20260922_233951.pth,1
162,pglib_opf_case162_ieee_dtc,full,nominal,4,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed4_20260922_234625.pth,1
162,pglib_opf_case162_ieee_dtc,full,nominal,5,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed5_20260922_235253.pth,1
162,pglib_opf_case162_ieee_dtc,full,equal,1,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_equal_pglib_opf_case162_ieee_dtc_10000epochs_seed1_20260922_235930.pth,1
162,pglib_opf_case162_ieee_dtc,full,equal,2,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_equal_pglib_opf_case162_ieee_dtc_10000epochs_seed2_20260923_000612.pth,1
162,pglib_opf_case162_ieee_dtc,full,equal,3,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_equal_pglib_opf_case162_ieee_dtc_10000epochs_seed3_20260923_001246.pth,1
162,pglib_opf_case162_ieee_dtc,full,equal,4,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_equal_pglib_opf_case162_ieee_dtc_10000epochs_seed4_20260923_001924.pth,1
162,pglib_opf_case162_ieee_dtc,full,equal,5,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_equal_pglib_opf_case162_ieee_dtc_10000epochs_seed5_20260923_002553.pth,1
162,pglib_opf_case162_ieee_dtc,full,inequality,1,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_inequality_pglib_opf_case162_ieee_dtc_10000epochs_seed1_20260923_003228.pth,1
162,pglib_opf_case162_ieee_dtc,full,inequality,2,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_inequality_pglib_opf_case162_ieee_dtc_10000epochs_seed2_20260923_003902.pth,1
162,pglib_opf_case162_ieee_dtc,full,inequality,3,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_inequality_pglib_opf_case162_ieee_dtc_10000epochs_seed3_20260923_004535.pth,1
162,pglib_opf_case162_ieee_dtc,full,inequality,4,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_inequality_pglib_opf_case162_ieee_dtc_10000epochs_seed4_20260923_005210.pth,1
162,pglib_opf_case162_ieee_dtc,full,inequality,5,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_inequality_pglib_opf_case162_ieee_dtc_10000epochs_seed5_20260923_005846.pth,1
162,pglib_opf_case162_ieee_dtc,full,physics,1,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_physics_pglib_opf_case162_ieee_dtc_10000epochs_seed1_20260923_010601.pth,1
162,pglib_opf_case162_ieee_dtc,full,physics,2,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_physics_pglib_opf_case162_ieee_dtc_10000epochs_seed2_20260923_011250.pth,1
162,pglib_opf_case162_ieee_dtc,full,physics,3,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_physics_pglib_opf_case162_ieee_dtc_10000epochs_seed3_20260923_011928.pth,1
162,pglib_opf_case162_ieee_dtc,full,physics,4,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_physics_pglib_opf_case162_ieee_dtc_10000epochs_seed4_20260923_012604.pth,1
162,pglib_opf_case162_ieee_dtc,full,physics,5,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_physics_pglib_opf_case162_ieee_dtc_10000epochs_seed5_20260923_013240.pth,1
162,pglib_opf_case162_ieee_dtc,full,objective,1,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_objective_pglib_opf_case162_ieee_dtc_10000epochs_seed1_20260923_013912.pth,1
162,pglib_opf_case162_ieee_dtc,full,objective,2,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_objective_pglib_opf_case162_ieee_dtc_10000epochs_seed2_20260923_014545.pth,1
162,pglib_opf_case162_ieee_dtc,full,objective,3,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_objective_pglib_opf_case162_ieee_dtc_10000epochs_seed3_20260923_015216.pth,1
162,pglib_opf_case162_ieee_dtc,full,objective,4,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_objective_pglib_opf_case162_ieee_dtc_10000epochs_seed4_20260923_015854.pth,1
162,pglib_opf_case162_ieee_dtc,full,objective,5,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_full_objective_pglib_opf_case162_ieee_dtc_10000epochs_seed5_20260923_020532.pth,1
300,pglib_opf_case300_ieee,none,nominal,1,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_none_nominal_pglib_opf_case300_ieee_10000epochs_seed1_20260922_190527.pth,1
300,pglib_opf_case300_ieee,none,nominal,2,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_none_nominal_pglib_opf_case300_ieee_10000epochs_seed2_20260922_191306.pth,1
300,pglib_opf_case300_ieee,none,nominal,3,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_none_nominal_pglib_opf_case300_ieee_10000epochs_seed3_20260922_192042.pth,1
300,pglib_opf_case300_ieee,none,nominal,4,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_none_nominal_pglib_opf_case300_ieee_10000epochs_seed4_20260922_192828.pth,1
300,pglib_opf_case300_ieee,none,nominal,5,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_none_nominal_pglib_opf_case300_ieee_10000epochs_seed5_20260922_193712.pth,1
300,pglib_opf_case300_ieee,voltage,nominal,1,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_voltage_nominal_pglib_opf_case300_ieee_10000epochs_seed1_20260922_194635.pth,1
300,pglib_opf_case300_ieee,voltage,nominal,2,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_voltage_nominal_pglib_opf_case300_ieee_10000epochs_seed2_20260922_195711.pth,1
300,pglib_opf_case300_ieee,voltage,nominal,3,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_voltage_nominal_pglib_opf_case300_ieee_10000epochs_seed3_20260922_200513.pth,1
300,pglib_opf_case300_ieee,voltage,nominal,4,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_voltage_nominal_pglib_opf_case300_ieee_10000epochs_seed4_20260922_201302.pth,1
300,pglib_opf_case300_ieee,voltage,nominal,5,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_voltage_nominal_pglib_opf_case300_ieee_10000epochs_seed5_20260922_202040.pth,1
300,pglib_opf_case300_ieee,generation,nominal,1,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_generation_nominal_pglib_opf_case300_ieee_10000epochs_seed1_20260922_202830.pth,1
300,pglib_opf_case300_ieee,generation,nominal,2,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_generation_nominal_pglib_opf_case300_ieee_10000epochs_seed2_20260922_203606.pth,1
300,pglib_opf_case300_ieee,generation,nominal,3,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_generation_nominal_pglib_opf_case300_ieee_10000epochs_seed3_20260922_204331.pth,1
300,pglib_opf_case300_ieee,generation,nominal,4,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_generation_nominal_pglib_opf_case300_ieee_10000epochs_seed4_20260922_205112.pth,1
300,pglib_opf_case300_ieee,generation,nominal,5,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_generation_nominal_pglib_opf_case300_ieee_10000epochs_seed5_20260922_205849.pth,1
300,pglib_opf_case300_ieee,full,nominal,1,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_nominal_pglib_opf_case300_ieee_10000epochs_seed1_20260922_210638.pth,1
300,pglib_opf_case300_ieee,full,nominal,2,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_nominal_pglib_opf_case300_ieee_10000epochs_seed2_20260922_211416.pth,1
300,pglib_opf_case300_ieee,full,nominal,3,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_nominal_pglib_opf_case300_ieee_10000epochs_seed3_20260922_212148.pth,1
300,pglib_opf_case300_ieee,full,nominal,4,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_nominal_pglib_opf_case300_ieee_10000epochs_seed4_20260922_212938.pth,1
300,pglib_opf_case300_ieee,full,nominal,5,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_nominal_pglib_opf_case300_ieee_10000epochs_seed5_20260922_213727.pth,1
300,pglib_opf_case300_ieee,full,equal,1,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_equal_pglib_opf_case300_ieee_10000epochs_seed1_20260922_190120.pth,1
300,pglib_opf_case300_ieee,full,equal,2,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_equal_pglib_opf_case300_ieee_10000epochs_seed2_20260922_190925.pth,1
300,pglib_opf_case300_ieee,full,equal,3,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_equal_pglib_opf_case300_ieee_10000epochs_seed3_20260922_191658.pth,1
300,pglib_opf_case300_ieee,full,equal,4,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_equal_pglib_opf_case300_ieee_10000epochs_seed4_20260922_192434.pth,1
300,pglib_opf_case300_ieee,full,equal,5,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_equal_pglib_opf_case300_ieee_10000epochs_seed5_20260922_193236.pth,1
300,pglib_opf_case300_ieee,full,inequality,1,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_inequality_pglib_opf_case300_ieee_10000epochs_seed1_20260922_194123.pth,1
300,pglib_opf_case300_ieee,full,inequality,2,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_inequality_pglib_opf_case300_ieee_10000epochs_seed2_20260922_195123.pth,1
300,pglib_opf_case300_ieee,full,inequality,3,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_inequality_pglib_opf_case300_ieee_10000epochs_seed3_20260922_200050.pth,1
300,pglib_opf_case300_ieee,full,inequality,4,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_inequality_pglib_opf_case300_ieee_10000epochs_seed4_20260922_200840.pth,1
300,pglib_opf_case300_ieee,full,inequality,5,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_inequality_pglib_opf_case300_ieee_10000epochs_seed5_20260922_201620.pth,1
300,pglib_opf_case300_ieee,full,physics,1,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_physics_pglib_opf_case300_ieee_10000epochs_seed1_20260922_202408.pth,1
300,pglib_opf_case300_ieee,full,physics,2,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_physics_pglib_opf_case300_ieee_10000epochs_seed2_20260922_203147.pth,1
300,pglib_opf_case300_ieee,full,physics,3,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_physics_pglib_opf_case300_ieee_10000epochs_seed3_20260922_203921.pth,1
300,pglib_opf_case300_ieee,full,physics,4,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_physics_pglib_opf_case300_ieee_10000epochs_seed4_20260922_204657.pth,1
300,pglib_opf_case300_ieee,full,physics,5,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_physics_pglib_opf_case300_ieee_10000epochs_seed5_20260922_205432.pth,1
300,pglib_opf_case300_ieee,full,objective,1,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_objective_pglib_opf_case300_ieee_10000epochs_seed1_20260922_210204.pth,1
300,pglib_opf_case300_ieee,full,objective,2,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_objective_pglib_opf_case300_ieee_10000epochs_seed2_20260922_210942.pth,1
300,pglib_opf_case300_ieee,full,objective,3,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_objective_pglib_opf_case300_ieee_10000epochs_seed3_20260922_211731.pth,1
300,pglib_opf_case300_ieee,full,objective,4,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_objective_pglib_opf_case300_ieee_10000epochs_seed4_20260922_212527.pth,1
300,pglib_opf_case300_ieee,full,objective,5,model/controlled_ablation_20260922/iss_4090/case300/best_controlled_full_objective_pglib_opf_case300_ieee_10000epochs_seed5_20260922_213308.pth,1
